RegionName,StateName,City,Metro,CountyName,HomeValue,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
61944,IL,Paris,,Edgar County,69040.0,61944,12311.0,44.0,53496.0,27093.0,1398.0,11.355698156120546
22835,VA,Luray,,Page County,184886.0,22835,11593.0,46.3,52932.0,25034.0,1638.0,14.129215906150264
39667,MS,Tylertown,,Walthall County,116339.0,39667,12045.0,42.7,29797.0,21349.0,3088.0,25.637193856371933
32425,FL,Bonifay,,Holmes County,113530.0,32425,13586.0,41.0,37296.0,17743.0,2917.0,21.470631532459887
62450,IL,Olney,,Richland County,94925.0,62450,12216.0,42.4,44583.0,25462.0,1942.0,15.897184020956125
62896,IL,West Frankfort,,Franklin County,71449.0,62896,11971.0,43.6,38209.0,21474.0,2695.0,22.51273911953889
75835,TX,Crockett,,Houston County,100360.0,75835,11086.0,41.4,33292.0,20359.0,2957.0,26.673281616453185
59301,MT,Miles City,,Custer County,190315.0,59301,11408.0,41.3,52704.0,30551.0,1281.0,11.228962131837307
54521,WI,Eagle River,,Vilas County,214983.0,54521,7908.0,52.4,47639.0,34046.0,921.0,11.646433990895295
47670,IN,Princeton,,Gibson County,114816.0,47670,12048.0,41.0,52321.0,27105.0,1256.0,10.424966799468793
59860,MT,Polson,,Lake County,351804.0,59860,10504.0,45.8,48813.0,27463.0,1547.0,14.727722772277227
75494,TX,Winnsboro,,Wood County,145429.0,75494,9940.0,41.8,52733.0,28649.0,1519.0,15.28169014084507
40033,KY,Lebanon,,Marion County,121045.0,40033,12565.0,40.6,37109.0,22991.0,3158.0,25.133306804615998
99603,AK,Homer,,Kenai Peninsula Borough,287705.0,99603,10597.0,41.3,65175.0,33970.0,1137.0,10.729451731622158
38358,TN,Milan,,Gibson County,103214.0,38358,12077.0,41.8,50391.0,25352.0,1785.0,14.780160635919517
72110,AR,Morrilton,,Conway County,96515.0,72110,11296.0,40.3,40333.0,24390.0,2061.0,18.245396600566565
76692,TX,Whitney,,Hill County,124926.0,76692,10252.0,49.5,51409.0,30920.0,979.0,9.549356223175966
81082,CO,Trinidad,,Las Animas County,99104.0,81082,11369.0,44.7,41743.0,26346.0,2082.0,18.312956284633653
99615,AK,Kodiak,,Kodiak Island Borough,354712.0,99615,12839.0,33.7,88482.0,33121.0,912.0,7.103356959264739
